# Efficiencies taken from L144.end_use_eff
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
European Free Trade Association,comm cooling,electricity,electricity,2025,elect_td_bld,3.0460697,European Free Trade Association
India,comm cooling,electricity,electricity,2025,elect_td_bld,2.5380167,India
Indonesia,comm cooling,electricity,electricity,2025,elect_td_bld,2.6744378,Indonesia
Japan,comm cooling,electricity,electricity,2025,elect_td_bld,3.1739033,Japan
Mexico,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,Mexico
Middle East,comm cooling,electricity,electricity,2025,elect_td_bld,2.7814997,Middle East
Pakistan,comm cooling,electricity,electricity,2025,elect_td_bld,2.6744378,Pakistan
Russia,comm cooling,electricity,electricity,2025,elect_td_bld,2.6740249,Russia
South Africa,comm cooling,electricity,electricity,2025,elect_td_bld,2.480974,South Africa
South America_Northern,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,South America_Northern
South America_Southern,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,South America_Southern
South Asia,comm cooling,electricity,electricity,2025,elect_td_bld,2.6744378,South Asia
South Korea,comm cooling,electricity,electricity,2025,elect_td_bld,2.9979806,South Korea
Southeast Asia,comm cooling,electricity,electricity,2025,elect_td_bld,2.6744378,Southeast Asia
Taiwan,comm cooling,electricity,electricity,2025,elect_td_bld,2.6744378,Taiwan
Argentina,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,Argentina
Colombia,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,Colombia
Uruguay,comm cooling,electricity,electricity,2025,elect_td_bld,2.775066,Uruguay
USA,comm cooling,electricity,electricity,2030,elect_td_bld,3.266646,USA
Africa_Eastern,comm cooling,electricity,electricity,2030,elect_td_bld,2.5912124,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,2030,elect_td_bld,2.5912124,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,2030,elect_td_bld,2.5912124,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,2030,elect_td_bld,2.5912124,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,2030,elect_td_bld,3.175477,Australia_NZ
Brazil,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,Brazil
Canada,comm cooling,electricity,electricity,2030,elect_td_bld,3.1911784,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2030,elect_td_bld,2.7943,Central Asia
China,comm cooling,electricity,electricity,2030,elect_td_bld,2.8680993,China
EU-12,comm cooling,electricity,electricity,2030,elect_td_bld,2.9360052,EU-12
EU-15,comm cooling,electricity,electricity,2030,elect_td_bld,3.1458392,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2030,elect_td_bld,2.7943,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2030,elect_td_bld,2.9360052,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,2030,elect_td_bld,3.1458392,European Free Trade Association
India,comm cooling,electricity,electricity,2030,elect_td_bld,2.6745492,India
Indonesia,comm cooling,electricity,electricity,2030,elect_td_bld,2.8025558,Indonesia
Japan,comm cooling,electricity,electricity,2030,elect_td_bld,3.2705866,Japan
Mexico,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,Mexico
Middle East,comm cooling,electricity,electricity,2030,elect_td_bld,2.8907872,Middle East
Pakistan,comm cooling,electricity,electricity,2030,elect_td_bld,2.8025558,Pakistan
Russia,comm cooling,electricity,electricity,2030,elect_td_bld,2.7943,Russia
South Africa,comm cooling,electricity,electricity,2030,elect_td_bld,2.5912124,South Africa
South America_Northern,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,South America_Northern
South America_Southern,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,South America_Southern
South Asia,comm cooling,electricity,electricity,2030,elect_td_bld,2.8025558,South Asia
South Korea,comm cooling,electricity,electricity,2030,elect_td_bld,3.1016256,South Korea
Southeast Asia,comm cooling,electricity,electricity,2030,elect_td_bld,2.8025558,Southeast Asia
Taiwan,comm cooling,electricity,electricity,2030,elect_td_bld,2.8025558,Taiwan
Argentina,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,Argentina
Colombia,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,Colombia
Uruguay,comm cooling,electricity,electricity,2030,elect_td_bld,2.8834628,Uruguay
USA,comm cooling,electricity,electricity,2035,elect_td_bld,3.3658284,USA
Africa_Eastern,comm cooling,electricity,electricity,2035,elect_td_bld,2.705858,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,2035,elect_td_bld,2.705858,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,2035,elect_td_bld,2.705858,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,2035,elect_td_bld,2.705858,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,2035,elect_td_bld,3.2775655,Australia_NZ
Brazil,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,Brazil
Canada,comm cooling,electricity,electricity,2035,elect_td_bld,3.2922211,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2035,elect_td_bld,2.9958837,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2035,elect_td_bld,2.9194137,Central Asia
China,comm cooling,electricity,electricity,2035,elect_td_bld,3.0100685,China
EU-12,comm cooling,electricity,electricity,2035,elect_td_bld,3.0568009,EU-12
