INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechEff,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,period,minicam.energy.input,efficiency,market.name
Colombia,industrial energy use,refined liquids,refined liquids,2045,refined liquids industrial,1.028,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2050,refined liquids industrial,1.033,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2055,refined liquids industrial,1.038,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2060,refined liquids industrial,1.042,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2065,refined liquids industrial,1.047,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2070,refined liquids industrial,1.052,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2075,refined liquids industrial,1.057,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2080,refined liquids industrial,1.062,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2085,refined liquids industrial,1.067,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2090,refined liquids industrial,1.072,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2095,refined liquids industrial,1.077,Colombia
Colombia,industrial energy use,refined liquids,refined liquids,2100,refined liquids industrial,1.077,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,1975,refined liquids industrial,0.57,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,1990,refined liquids industrial,0.587,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2005,refined liquids industrial,0.605,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2010,refined liquids industrial,0.608,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2015,refined liquids industrial,0.611,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2020,refined liquids industrial,0.614,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2025,refined liquids industrial,0.617,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2030,refined liquids industrial,0.62,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2035,refined liquids industrial,0.623,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2040,refined liquids industrial,0.626,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2045,refined liquids industrial,0.629,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2050,refined liquids industrial,0.632,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2055,refined liquids industrial,0.635,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2060,refined liquids industrial,0.639,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2065,refined liquids industrial,0.642,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2070,refined liquids industrial,0.645,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2075,refined liquids industrial,0.649,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2080,refined liquids industrial,0.652,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2085,refined liquids industrial,0.655,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2090,refined liquids industrial,0.659,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2095,refined liquids industrial,0.662,Colombia
Colombia,industrial energy use,refined liquids,refined liquids cogen,2100,refined liquids industrial,0.662,Colombia
